,Unnamed: 0,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,Brand
0,0,Hyundai Grand i10,550000,748000,2016,Individual,20000,First Owner,Petrol,Manual,18.9,Hyundai
1,1,Ford Ecosport 2015-2021,570000,1379000,2015,Dealer,30000,First Owner,Diesel,Manual,22.77,Ford
2,2,Maruti Wagon R,350000,694000,2013,Individual,35000,First Owner,Petrol,Manual,18.9,Maruti
3,3,Hyundai i10 Sportz,315000,663000,2013,Dealer,40000,First Owner,Petrol,Manual,20.36,Hyundai
4,4,Maruti Wagon R,409999,701000,2018,Dealer,17512,First Owner,Petrol,Manual,20.51,Maruti
5,5,Hyundai Venue SX,1050000,1302000,2019,Individual,20000,First Owner,Petrol,Automatic,18.15,Hyundai
6,6,Maruti Swift VXI,511000,927000,2017,Dealer,28321,First Owner,Petrol,Manual,16.6,Maruti
7,7,Hyundai Verna 1.6,425000,1829000,2013,Dealer,65278,First Owner,Diesel,Manual,22.32,Hyundai
8,8,Maruti Baleno Zeta,600000,1054000,2015,Individual,20000,First Owner,Petrol,Manual,21.4,Maruti
9,9,Maruti Swift Dzire,575000,1040000,2016,Individual,40000,First Owner,Petrol,Manual,20.85,Maruti
10,10,Volkswagen Vento 1.6,425000,1607999,2013,Dealer,47000,First Owner,Petrol,Manual,16.09,Volkswagen
11,11,Hyundai Creta 1.6,1225000,1830000,2019,Individual,15000,First Owner,Diesel,Manual,19.67,Hyundai
12,12,Honda City i,750000,1657000,2015,Individual,50000,First Owner,Petrol,Manual,17.4,Honda
13,13,Mahindra Bolero SLE,350000,1069000,2011,Individual,25000,First Owner,Diesel,Manual,13.6,Mahindra
14,14,Honda City 2017-2020,145000,1680000,2007,Dealer,77253,First Owner,Petrol,Manual,17.7,Honda
15,15,Renault KWID Climber,340000,629000,2017,Individual,30000,First Owner,Petrol,Manual,23.01,Renault
16,16,Honda Amaze S,465000,990000,2016,Dealer,39993,First Owner,Petrol,Manual,18.6,Honda
17,17,Mahindra XUV500 W8,600000,2336000,2012,Individual,185000,First Owner,Diesel,Manual,15.1,Mahindra
18,18,Hyundai i20 1.2,598000,1266000,2018,Individual,40000,First Owner,Petrol,Manual,18.6,Hyundai
19,19,Honda City i,700000,1680000,2015,Dealer,31180,First Owner,Petrol,Automatic,18.0,Honda
20,20,Maruti Baleno Zeta,590000,1042000,2016,Dealer,52427,First Owner,Petrol,Automatic,21.4,Maruti
21,21,Mahindra Bolero B6,850000,1047000,2020,Individual,40000,First Owner,Diesel,Manual,21.0,Mahindra
22,22,Mahindra KUV100 NXT,550000,875000,2018,Individual,17000,First Owner,Petrol,Manual,18.15,Mahindra
23,23,Maruti Baleno Vxi,625000,1054000,2016,Dealer,22000,First Owner,Petrol,Manual,15.4,Maruti
24,24,Maruti Swift Dzire,600000,1040000,2016,Individual,54000,First Owner,Petrol,Manual,20.85,Maruti
25,25,Maruti Wagon R,445000,679000,2019,Individual,10000,First Owner,Petrol,Manual,20.51,Maruti
26,26,Maruti Ignis 1.2,530000,856000,2019,Individual,20000,First Owner,Petrol,Manual,20.89,Maruti
27,27,Maruti Wagon R,409999,604000,2018,Trustmark Dealer,53237,First Owner,CNG,Manual,26.6,Maruti
28,28,Datsun RediGO Gold,350000,550000,2018,Individual,27263,First Owner,Petrol,Manual,22.5,Datsun
29,29,Hyundai Verna 1.6,520000,1809000,2014,Individual,110000,First Owner,Diesel,Manual,22.32,Hyundai
30,30,Hyundai i20 Asta,750000,1283000,2016,Individual,70000,First Owner,Diesel,Manual,22.54,Hyundai
31,31,Hyundai i20 1.2,655000,1341000,2019,Dealer,39000,First Owner,Petrol,Manual,18.6,Hyundai
32,32,Hyundai i20 1.2,550000,1312000,2018,Individual,34000,First Owner,Petrol,Manual,18.6,Hyundai
33,33,Mahindra Scorpio 1.99,1150000,1992000,2017,Individual,50000,First Owner,Diesel,Manual,15.4,Mahindra
34,34,Mahindra Marazzo M2,990000,1643000,2019,Individual,36000,First Owner,Diesel,Manual,17.3,Mahindra
35,35,Hyundai Verna SX,551000,1817000,2013,Dealer,47876,First Owner,Diesel,Manual,25.0,Hyundai
36,36,Mahindra XUV500 W11,1650000,2328000,2018,Individual,21500,First Owner,Diesel,Automatic,15.1,Mahindra
37,37,Ford Aspire 1.2,500000,869999,2017,Dealer,58000,First Owner,Petrol,Manual,18.16,Ford
38,38,Maruti Swift Dzire,575000,1026000,2018,Individual,30000,First Owner,Petrol,Manual,21.21,Maruti
