,selling_price,new-price,year,km_driven,mileage
0,550000,748000,2016,20000,18.9
1,570000,1379000,2015,30000,22.77
2,350000,694000,2013,35000,18.9
3,315000,663000,2013,40000,20.36
4,409999,701000,2018,17512,20.51
5,1050000,1302000,2019,20000,18.15
6,511000,927000,2017,28321,16.6
7,425000,1829000,2013,65278,22.32
8,600000,1054000,2015,20000,21.4
9,575000,1040000,2016,40000,20.85
10,425000,1607999,2013,47000,16.09
11,1225000,1830000,2019,15000,19.67
12,750000,1657000,2015,50000,17.4
13,350000,1069000,2011,25000,13.6
14,145000,1680000,2007,77253,17.7
15,340000,629000,2017,30000,23.01
16,465000,990000,2016,39993,18.6
17,600000,2336000,2012,185000,15.1
18,598000,1266000,2018,40000,18.6
19,700000,1680000,2015,31180,18.0
20,590000,1042000,2016,52427,21.4
21,850000,1047000,2020,40000,21.0
22,550000,875000,2018,17000,18.15
23,625000,1054000,2016,22000,15.4
24,600000,1040000,2016,54000,20.85
25,445000,679000,2019,10000,20.51
26,530000,856000,2019,20000,20.89
27,409999,604000,2018,53237,26.6
28,350000,550000,2018,27263,22.5
29,520000,1809000,2014,110000,22.32
30,750000,1283000,2016,70000,22.54
31,655000,1341000,2019,39000,18.6
32,550000,1312000,2018,34000,18.6
33,1150000,1992000,2017,50000,15.4
34,990000,1643000,2019,36000,17.3
35,551000,1817000,2013,47876,25.0
36,1650000,2328000,2018,21500,15.1
37,500000,869999,2017,58000,18.16
38,575000,1026000,2018,30000,21.21
39,525000,791000,2017,19093,18.16
40,400000,985000,2014,50000,18.0
41,155000,694000,2006,37000,14.0
42,545000,1745000,2013,70000,16.8
43,240000,609000,2016,25000,25.17
44,480000,844999,2017,30000,18.16
45,375000,1312000,2013,15000,18.5
46,400000,789000,2017,32100,23.84
47,550000,1341000,2016,22000,18.5
48,450000,1119000,2016,78000,18.78
49,775000,160000,2012,74352,11.74
50,350000,694000,2014,37000,20.51
51,550000,1755000,2014,69000,25.1
52,1080000,1920000,2019,12120,16.8
53,229999,466000,2013,55000,22.74
54,270000,1128000,2011,160000,21.9
55,130000,791000,2011,40000,15.6
56,370000,994999,2012,46000,19.1
57,570000,1042000,2017,25000,21.4
58,1250000,1829000,2018,14000,22.0
59,590000,1341000,2016,11000,18.6
60,475000,665000,2018,5000,23.1
61,685000,1379000,2017,55000,23.0
62,330000,648000,2018,22000,23.01
63,650000,1042000,2018,7671,21.01
64,325000,679000,2016,66000,20.51
65,640000,1003999,2018,45156,21.21
66,949000,1212000,2019,25000,18.27
67,660000,1809000,2015,120000,23.9
68,434999,927000,2014,28000,16.1
69,385000,1309000,2013,55000,21.9
70,1250000,1829000,2019,14000,22.0
71,155000,707000,2009,98780,18.9
72,1150000,1992000,2016,46400,15.4
73,350000,788000,2015,35000,19.44
74,1125000,1992000,2017,30000,15.4
75,480000,809000,2018,10000,20.62
76,1100000,1975000,2017,102000,17.01
77,160000,746000,2007,54000,0.0
78,340000,1003999,2012,49948,17.5
79,925000,1371000,2018,55000,23.0
80,400000,657000,2015,36000,18.9
81,725000,1680000,2016,49625,17.8
82,550000,1920000,2013,95000,12.05
83,585000,1008000,2017,36000,25.83
